k_paquetes_por_seg,frecuencia_observada,frecuencia_relativa,poisson_pmf_teorica,frecuencia_esperada
0,0,0.0,0.0001069812317752422,0.0007488686224266954
1,0,0.0,0.0009781141190879285,0.0068467988336155
2,0,0.0,0.004471378830116245,0.03129965181081371
3,0,0.0,0.01362705929178284,0.09538941504247987
4,0,0.0,0.031147564095503635,0.21803294866852546
5,0,0.0,0.05695554577463521,0.39868882042244647
6,0,0.0,0.08678940308515841,0.6075258215961089
7,0,0.0,0.11335758770306403,0.7935031139214482
8,1,0.14285714285714285,0.12955152880350176,0.9068607016245124
9,4,0.5714285714285714,0.1316079022765732,0.9212553159360124
10,2,0.2857142857142857,0.12032722493858122,0.8422905745700686
11,0,0.0,0.10001223890998957,0.700085672369927
12,0,0.0,0.07619980107427778,0.5333986075199444
13,0,0.0,0.05359106888740415,0.375137482211829
14,0,0.0,0.034998249069325145,0.24498774348527602
